title,skills,level,platform,course_id
Google Cybersecurity,network security;python programming;linux;cloud computing;algorithms;audit;computer programming;computer security incident management;cryptography;databases;leadership and management;network architecture;risk management;sql,Beginner ,Coursera,C1
Google Data Analytics,data analysis;r programming;sql;business communication;spreadsheet software;business analysis;data visualization;data management;general statistics;big data;communication;computer programming;data science;data visualization software;databases;exploratory data analysis;extract;transform;load;leadership and management;microsoft excel;problem solving;small data;statistical programming;tableau software,Beginner ,Coursera,C2
Google Project Management:,project management;strategy and operations;leadership and management;communication;business communication;collaboration;agile software development;software engineering;entrepreneurship;scrum (software development);planning;supply chain and logistics;change management;finance;organizational development;product management;risk management;budget management;influencing;culture;emotional intelligence;people management;problem solving;procurement,Beginner ,Coursera,C3
Google Digital Marketing & E-commerce,digital marketing;marketing;marketing management;media strategy & planning;sales;e-commerce;data analysis;social media;search engine optimization;advertising;communication;persona research;strategy;web design;web development;web development tools;writing;data management;market analysis,Beginner ,Coursera,C4
Google IT Support,computer networking;network architecture;network model;networking hardware;network analysis;computer architecture;critical thinking;problem solving;communication;human computer interaction;network security;linux;system security;cloud computing;computer programming;customer support;cryptography;leadership and management;operating systems,Beginner ,Coursera,C5
IBM Data Science,python programming;data science;machine learning;data analysis;data visualization;algorithms;human learning;statistical programming;decision making;machine learning algorithms;statistical machine learning;statistical visualization;computational thinking;computer programming;data management;data mining;database design;exploratory data analysis;plot (graphics);applied machine learning;customer analysis;r programming;data model;database application;database theory;databases;deep learning;sql;general statistics;probability & statistics;regression;reinforcement learning;big data;cloud computing;ibm cloud;writing,Beginner ,Coursera,C6
Google UX Design,user experience;user experience design;user research;audit;collaboration;human computer interaction;planning;product design;product development;social media;web design;web development tools,Beginner ,Coursera,C7
IBM Data Analyst,python programming;data visualization;microsoft excel;spreadsheet software;data analysis;statistical visualization;plot (graphics);statistical programming;databases;sql;data management;exploratory data analysis;machine learning;business analysis;computational thinking;computer programming;database application;database design;database theory;data mining;data science;general statistics;nosql;r programming;cloud computing;data visualization software;ibm cloud;interactive data visualization;machine learning algorithms;probability & statistics;regression,Beginner ,Coursera,C8
Machine Learning,machine learning;machine learning algorithms;applied machine learning;algorithms;deep learning;machine learning software;artificial neural networks;human learning;statistical machine learning;python programming;regression;mathematics;tensorflow;critical thinking;network model;reinforcement learning,Beginner ,Coursera,C9
Introduction to Data Science,data science;python programming;data analysis;data management;r programming;computational thinking;computer programming;data mining;database application;database design;database theory;databases;sql;data model;machine learning;statistical machine learning;big data;cloud computing;deep learning;ibm cloud;regression;writing,Beginner ,Coursera,C10
Generative AI for Everyone,strategy;writing,Beginner ,Coursera,C11
IBM DevOps and Software Engineering,devops;software engineering;cloud computing;computer programming;application development;python programming;software architecture;cloud applications;continuous delivery;continuous integration;software engineering tools;agile software development;programming principles;security engineering;software testing;cloud infrastructure;kubernetes;cloud-based integration;microarchitecture;cloud platforms;communication;ibm cloud;scrum (software development);software security;cloud storage;docker (software);linux;product management;software-defined networking;collaboration;leadership and management;data analysis;mergers & acquisitions,Beginner ,Coursera,C12
IBM Full Stack Software Developer,cloud computing;python programming;cloud applications;computer programming;ibm cloud;application development;cloud infrastructure;devops;web development;cloud management;cloud platforms;javascript;software architecture;cloud api;cloud storage;cloud-based integration;full-stack web development;software engineering;continuous delivery;continuous integration;docker (software);software as a service;web development tools;microarchitecture;django (web framework);database application;databases;kubernetes;sql;software engineering tools;data management;nosql;collaboration;computer science;data analysis;leadership and management;mergers & acquisitions;react (web framework),Beginner ,Coursera,C13
Key Technologies for Business,algorithms;applied machine learning;artificial neural networks;computer vision;deep learning;human learning;machine learning;machine learning algorithms;machine learning software;cloud computing;data science;data analysis;big data;data mining;cloud applications;cloud infrastructure;cloud platforms;cloud storage;devops;ibm cloud;regression;writing,Beginner ,Coursera,C14
Data Science Fundamentals with Python and SQL,python programming;data analysis;general statistics;probability & statistics;basic descriptive statistics;statistical analysis;statistical tests;mathematical theory & analysis;statistical programming;computer programming;data science;plot (graphics);r programming;computational thinking;data management;database application;database design;database theory;databases;sql;cloud computing;ibm cloud,Beginner ,Coursera,C15
IBM & Darden Digital Strategy,business analysis;business transformation;strategy;cloud computing;data analysis;strategy and operations;applied machine learning;entrepreneurship;leadership and management;algorithms;artificial neural networks;computer vision;deep learning;human learning;innovation;machine learning;machine learning algorithms;machine learning software;marketing;sales;data visualization;research and design;business design;business development;customer analysis;product strategy;market analysis;data management;data mining;databases;python programming;sql;cloud applications;cloud infrastructure;cloud platforms;cloud storage;data science;devops;ibm cloud;nosql;r programming;microsoft excel,Beginner ,Coursera,C16
IBM Data Engineering,data management;databases;database administration;extract;transform;load;big data;sql;python programming;apache;database design;distributed computing architecture;data architecture;database application;nosql;data structures;data model;data warehousing;cloud computing;database theory;data engineering;data visualization;computer programming;cloud storage;ibm cloud;data mining;machine learning;cloud applications;data analysis;leadership and management;kubernetes;software architecture;postgresql;computational thinking;business intelligence;data visualization software;linux;network security;statistical programming;data science,Beginner ,Coursera,C17
IBM Data Analytics with Excel and R,data analysis;r programming;computer programming;data visualization;data management;statistical programming;databases;plot (graphics);exploratory data analysis;statistical visualization;data analysis software;data structures;statistical analysis;microsoft excel;sql;basic descriptive statistics;general statistics;interactive data visualization;database application;extract;transform;load;spreadsheet software;visualization (computer graphics);programming principles;regression;database administration;database design;database theory;computer programming tools;correlation and dependence;data mining;data visualization software;statistical machine learning;visual design;business analysis;python programming;data science;nosql,Beginner ,Coursera,C18
Data Analysis and Visualization Foundations,microsoft excel;spreadsheet software;data visualization;data analysis;plot (graphics);databases;python programming;sql;statistical visualization;business analysis;data management;data mining;data science;interactive data visualization;nosql;r programming;data visualization software,Beginner ,Coursera,C19
Deep Learning,machine learning;deep learning;artificial neural networks;machine learning algorithms;applied machine learning;python programming;machine learning software;network model;algorithms;computer programming;computer vision;network architecture;natural language processing;tensorflow;human learning;data analysis;exploratory data analysis;organizational development;strategy;mathematics;mathematical theory & analysis;linear algebra;regression;calculus,Intermediate ,Coursera,C20
IBM AI Foundations for Business,machine learning;data analysis;applied machine learning;data management;leadership and management;machine learning algorithms;algorithms;artificial neural networks;business process management;computer vision;data architecture;deep learning;human learning;machine learning software;data science;strategy and operations;business transformation;cloud computing;strategy;big data;data mining;innovation;regression;writing,Beginner ,Coursera,C21
Data Engineering Foundations,data management;python programming;databases;data structures;data engineering;database application;sql;database administration;database design;extract;transform;load;computer programming;data architecture;database theory;data mining;data model;data analysis;leadership and management;computational thinking;data warehousing;postgresql;big data;ibm cloud;network security;nosql;cloud computing;data science,Beginner ,Coursera,C22
IBM Back-End Development,application development;software engineering;python programming;computer programming;software architecture;devops;software engineering tools;cloud applications;cloud computing;security engineering;programming principles;web development;cloud infrastructure;cloud-based integration;microarchitecture;agile software development;communication;ibm cloud;kubernetes;software security;data management;database application;databases;docker (software);linux;product management;sql;software-defined networking;collaboration;django (web framework);leadership and management;data analysis;mergers & acquisitions,Beginner ,Coursera,C23
Applied Data Science,python programming;data visualization;statistical programming;data analysis;machine learning;statistical visualization;plot (graphics);algorithms;computer programming;data science;exploratory data analysis;general statistics;machine learning algorithms;probability & statistics;regression,Beginner ,Coursera,C24
IBM Applied AI,machine learning;deep learning;machine learning algorithms;artificial neural networks;python programming;cloud computing;computer vision;human learning;ibm cloud;applied machine learning;algorithms;cloud api;machine learning software;natural language processing;human computer interaction;computer programming;cloud applications;computer programming tools;application development;visualization (computer graphics);data analysis;software as a service;user experience design;data science,Beginner ,Coursera,C25
Excel Skills for Business,spreadsheet software;business analysis;microsoft excel;data analysis;plot (graphics);data visualization;data model;databases;finance;leadership and management,Beginner ,Coursera,C26
Applied Software Engineering Fundamentals,python programming;computer programming;software engineering;application development;programming principles;software architecture;software engineering tools;agile software development;communication;product management;software-defined networking;collaboration;leadership and management;linux;data analysis;mergers & acquisitions,Beginner ,Coursera,C27
Generative AI with Large Language Models,machine learning;natural language processing;python programming,Intermediate ,Coursera,C28
Google Advanced Data Analytics,communication;computer programming;data analysis;exploratory data analysis;general statistics;machine learning;planning;probability distribution;project management;python programming;regression;statistical analysis;tableau software,Advanced ,Coursera,C29
"DevOps, Cloud, and Agile Foundations",devops;cloud computing;software engineering;agile software development;continuous delivery;continuous integration;scrum (software development);cloud applications;cloud infrastructure;cloud platforms;cloud storage;ibm cloud;leadership and management,Beginner ,Coursera,C30
Meta Front-End Developer,html and css;javascript;front-end web development;react (web framework);web development;user experience;algorithms;computer science;web design;application development;computer programming;software engineering;web development tools;collaboration;communication;data structures;human computer interaction;interactive design;linux;problem solving;product design;software engineering tools;software testing,Beginner ,Coursera,C31
Cloud Application Development Foundations,cloud computing;cloud applications;ibm cloud;javascript;cloud infrastructure;cloud platforms;devops;cloud management;computer programming;web development;cloud api;continuous integration;cloud storage;software as a service;continuous delivery;web development tools;nosql;computer science;react (web framework),Beginner ,Coursera,C32
Foundations of Project Management,project management;strategy and operations;business communication;change management;organizational development;communication;culture;emotional intelligence;influencing;leadership and management;people management;planning,Beginner ,Coursera,C33
Foundations of Cybersecurity,linux;computer programming;leadership and management;sql,Beginner ,Coursera,C34
IBM IT Support,customer success;cloud computing;computer networking;strategy and operations;operating systems;cloud storage;cloud applications;leadership and management;system security;customer support;communication;computer programming;cyberattacks;cloud infrastructure;cloud platforms;databases;devops;networking hardware;cryptography;ibm cloud;information technology;network architecture;network security;security engineering;software engineering,Beginner ,Coursera,C35
"Foundations: Data, Data, Everywhere",data analysis;sql;data visualization;business analysis;spreadsheet software;data science;databases;microsoft excel,Beginner ,Coursera,C36
IBM IT Project Manager,software engineering;agile software development;computer programming;software engineering tools;application development;programming principles;software architecture;communication;cloud applications;product management;scrum (software development);software-defined networking;leadership and management;project management;cloud computing;ibm cloud;information technology;operating systems;python programming;risk management,Beginner ,Coursera,C37
Google IT Automation with Python,cloud computing;cloud platforms;collaboration;computer programming;data structures;google cloud platform;leadership and management;problem solving;python programming,Beginner ,Coursera,C38
Information Technology (IT) and Cloud Fundamentals,cloud computing;computer networking;operating systems;cloud storage;system security;cloud applications;cyberattacks;cloud infrastructure;cloud platforms;databases;devops;networking hardware;computer programming;cryptography;ibm cloud;network architecture;network security;security engineering;software engineering,Beginner ,Coursera,C39
Prompt Engineering,creativity;data analysis;problem solving;writing,Beginner ,Coursera,C40
Microsoft Power BI Data Analyst,data analysis;data management;data mining;data model;extract;transform;load;microsoft excel;power bi;sql,Beginner ,Coursera,C41
IBM Data Warehouse Engineer,data management;databases;database administration;sql;database application;extract;transform;load;data warehousing;database design;data structures;data engineering;computer programming;data analysis;data architecture;database theory;apache;python programming;leadership and management;professional development;big data;data model;distributed computing architecture;computational thinking;postgresql;software architecture;cloud computing;linux;ibm cloud;network security;nosql;business intelligence;data science,Beginner ,Coursera,C42
IBM Cybersecurity Analyst,cryptography;python programming;linux;network security;security strategy;software security;system software;computer security incident management;networking hardware;security software;cloud computing;cyberattacks;devops;mobile security;computer programming;databases;leadership and management;operating systems;sql;system security,Beginner ,Coursera,C43
AI For Everyone,data science;deep learning;machine learning;artificial neural networks;business transformation;human learning;planning;project management,Beginner ,Coursera,C44
Supervised Machine Learning: Regression and Classification,machine learning;machine learning algorithms;regression;applied machine learning;algorithms;statistical machine learning;mathematics;critical thinking;machine learning software;python programming,Beginner ,Coursera,C45
IBM DevOps and Software Engineering,,,Coursera,C46
IBM Front-End Developer,software engineering;cloud applications;application development;computer programming;software engineering tools;cloud computing;ibm cloud;programming principles;web development;agile software development;cloud api;cloud infrastructure;cloud management;cloud platforms;communication;devops;software architecture;continuous integration;software as a service;web development tools;continuous delivery;front-end web development;leadership and management;product management;software-defined networking;collaboration;javascript;nosql;mergers & acquisitions;python programming;react (web framework);strategy,Beginner ,Coursera,C47
Technical Support Fundamentals,communication;computer architecture;computer networking;customer support;networking hardware,Beginner ,Coursera,C48
Business Foundations,accounting;finance;general accounting;decision making;financial accounting;strategy and operations;account management;accounts payable and receivable;cost accounting;leadership and management;strategy;cash management;communication;financial analysis;generally accepted accounting principles (gaap);marketing;brand management;budget management;customer analysis;market analysis;marketing design;product marketing;product strategy;entrepreneurship;human resources;people analysis;performance management;business analysis;customer relationship management;data analysis;digital marketing;mathematical theory & analysis;change management;human resources operations;talent management;operations management,Beginner ,Coursera,C49
